5,6,9,4,5,5,5,6,4,5,9,2,1,9,9,9,0,1,2,0
8,4,9,4,4,5,6,4,7,4,9,0,9,9,9,0,9,1,2,2
4,4,6,3,9,5,4,3,5,9,9,0,1,1,0,0,0,3,0,9
3,5,1,5,3,9,9,9,5,7,9,9,1,0,0,9,9,9,2,9
5,0,9,9,9,4,4,9,0,4,9,0,0,9,1,0,1,0,3,3
3,0,9,1,0,6,9,9,5,6,0,0,9,2,0,9,1,0,0,0
3,4,7,3,0,9,2,0,5,8,9,9,3,1,0,9,0,2,0,2
6,9,7,3,5,5,5,9,6,1,2,9,9,1,0,1,2,0,2,2
4,9,5,5,4,7,6,8,4,5,9,2,1,9,0,0,9,0,9,9
5,5,4,9,2,8,4,5,4,0,9,0,0,0,9,9,9,0,2,9
8,5,6,6,4,7,5,6,5,7,0,0,0,0,0,0,0,0,0,0
8,7,7,7,4,5,6,6,5,7,0,0,0,0,0,0,0,0,0,0
7,8,7,7,4,7,5,7,5,7,6,7,3,1,4,2,3,5,0,0
7,7,6,6,7,8,8,4,5,6,7,3,1,2,3,6,7,6,7,0
4,6,8,7,6,7,3,5,7,7,3,4,3,3,0,0,7,8,1,0
5,5,5,6,4,5,6,4,7,7,0,3,0,2,4,6,4,8,5,0
6,5,8,7,5,6,4,4,6,7,0,1,2,1,4,1,2,5,1,0
5,5,7,7,7,6,7,5,5,7,0,6,5,8,0,1,3,9,6,0
5,5,8,4,5,6,7,6,6,8,0,0,0,0,0,0,0,0,0,0
7,7,6,6,6,7,7,7,7,4,0,0,0,0,0,0,0,0,0,0
