3,9,7,0,9,8,6,6,9,4,1,0,9,0,0,9,0,0,0,9
8,0,4,0,4,5,5,1,0,1,0,0,0,0,0,1,1,1,9,9
6,6,2,5,7,5,7,6,7,8,1,1,9,0,0,0,9,0,2,0
5,5,0,4,8,0,4,3,0,0,9,1,9,9,9,0,0,9,0,9
5,4,5,5,5,0,5,4,9,0,1,0,0,1,1,9,2,9,9,9
6,9,6,7,5,4,4,5,4,2,0,0,0,2,0,9,2,9,2,9
6,2,8,1,4,9,2,5,5,5,9,0,9,1,9,0,9,3,9,9
5,2,7,4,1,3,5,1,3,5,9,2,9,0,9,9,1,9,0,0
5,5,9,6,5,5,4,4,2,7,0,0,0,1,9,2,9,9,2,9
4,9,9,5,5,0,0,3,5,7,9,0,9,0,0,0,1,0,1,9
7,6,6,8,5,7,7,6,8,7,0,0,0,0,0,0,0,0,0,0
6,5,6,6,8,7,7,8,8,7,0,0,0,0,0,0,0,0,0,0
6,6,7,7,7,7,8,4,8,7,0,0,1,0,3,2,2,0,1,0
4,7,7,8,5,6,7,8,8,7,7,3,3,1,7,4,5,3,1,0
7,7,7,6,4,7,5,8,8,8,7,6,3,1,4,1,5,0,0,0
7,7,8,7,7,7,6,5,8,7,7,1,0,2,2,1,4,3,1,0
8,7,8,8,7,8,7,6,8,7,0,7,2,4,1,0,7,6,8,0
7,6,8,7,8,7,8,8,8,5,0,5,5,2,1,1,2,3,3,0
8,8,8,5,7,7,7,7,5,8,0,0,0,0,0,0,0,0,0,0
6,8,4,5,8,8,5,6,7,7,0,0,0,0,0,0,0,0,0,0
