8,9,5,4,5,0,8,5,8,9,0,1,2,0,0,0,0,0,1,2
5,6,2,6,5,3,7,4,3,4,9,9,2,0,0,0,0,9,9,2
4,3,4,0,4,5,6,7,3,6,3,1,9,2,9,0,0,0,0,0
8,9,6,4,9,3,0,9,4,5,9,2,9,9,0,9,9,0,2,1
5,7,7,0,3,9,6,5,4,6,3,2,9,1,9,9,0,0,2,3
5,5,5,9,5,5,7,5,4,3,1,2,0,9,2,1,0,0,9,3
4,4,5,4,4,4,9,5,0,1,9,1,0,0,0,0,9,0,2,1
2,5,5,9,5,0,3,5,5,2,0,9,0,0,0,1,1,0,1,9
9,8,5,9,4,4,5,1,9,9,9,0,0,0,0,0,0,2,9,9
9,4,2,4,0,4,0,5,4,6,1,0,0,0,0,9,0,0,1,0
8,7,7,8,7,8,7,8,8,8,0,0,0,0,0,0,0,0,0,0
7,7,8,7,7,7,7,8,8,8,0,0,0,0,0,0,0,0,0,0
8,8,7,7,8,8,8,7,8,7,8,3,0,1,6,0,3,1,1,0
8,7,7,8,8,8,8,8,7,8,8,4,3,1,0,7,0,7,1,0
7,8,7,7,8,7,8,8,8,7,8,2,7,3,2,5,3,6,5,0
7,7,7,8,8,8,7,7,8,7,8,3,1,3,3,8,1,1,5,0
7,7,7,7,7,7,7,8,8,7,8,8,0,3,2,4,6,0,4,0
8,8,7,8,8,7,7,8,8,8,0,3,5,4,5,2,4,9,1,0
8,7,8,7,8,8,7,8,7,7,0,0,0,0,0,0,0,0,0,0
7,7,8,8,7,8,7,7,7,8,0,0,0,0,0,0,0,0,0,0
