5,2,6,0,6,3,3,3,6,7,9,9,0,0,0,0,0,0,0,0
4,9,8,7,3,5,5,2,5,3,0,0,0,0,0,0,0,0,0,2
1,3,8,7,5,5,4,7,5,9,0,0,0,1,0,9,2,0,1,9
0,1,4,5,6,2,0,7,3,0,0,0,9,2,9,2,1,9,1,0
4,5,5,3,0,4,4,5,4,9,1,9,9,9,0,9,3,2,2,0
8,7,2,5,5,4,9,4,3,6,9,0,0,2,1,9,9,9,0,2
4,9,5,2,6,3,2,5,5,9,2,0,9,0,9,2,0,0,9,0
9,2,4,4,3,4,2,0,6,5,0,9,9,9,1,2,0,9,2,2
5,7,5,4,5,6,9,4,1,2,9,0,2,0,0,1,9,0,0,9
5,5,4,9,5,0,5,3,4,2,9,0,9,0,0,0,0,0,9,0
7,7,8,8,8,7,7,8,8,8,0,0,0,0,0,0,0,0,0,0
7,8,7,8,8,7,8,7,8,8,0,0,0,0,0,0,0,0,0,0
7,7,8,7,8,7,8,7,7,7,0,2,5,2,1,1,1,0,0,0
7,7,7,8,8,7,7,8,8,8,0,0,5,0,1,4,1,1,1,0
8,8,7,7,7,7,8,7,8,8,7,3,3,8,7,9,0,0,4,0
8,8,7,7,7,7,7,8,8,7,1,4,0,2,1,8,3,2,2,0
8,7,8,7,8,8,7,7,8,8,1,5,4,5,5,2,4,1,4,0
8,7,7,7,7,7,8,7,7,7,0,7,0,4,6,2,4,3,4,0
7,8,7,7,8,7,7,8,8,7,0,0,0,0,0,0,0,0,0,0
8,7,8,8,8,7,7,8,7,7,0,0,0,0,0,0,0,0,0,0
