5,6,4,7,7,4,3,7,9,9,9,1,0,0,0,0,0,0,0,0
4,4,4,9,3,5,6,3,7,4,2,9,0,0,0,0,0,0,0,0
4,6,2,9,5,5,7,4,3,5,0,9,0,0,9,0,9,9,0,0
3,5,0,8,9,4,4,6,2,8,2,1,0,0,9,1,2,0,2,2
6,0,6,9,0,5,6,9,4,5,3,9,9,9,0,1,0,2,0,0
9,8,8,5,5,3,9,0,4,9,9,0,9,0,9,2,2,9,3,9
9,3,4,4,4,2,4,9,5,9,0,0,2,0,9,0,0,9,0,2
3,3,9,5,6,2,9,2,6,5,0,0,0,1,1,1,9,9,0,0
4,5,5,5,0,7,9,6,5,4,0,1,9,1,9,2,0,3,2,9
3,5,0,5,6,0,2,5,0,9,0,0,9,9,0,1,1,9,1,2
7,8,7,7,7,8,7,7,8,8,0,0,0,0,0,0,0,0,0,0
7,8,8,7,8,7,8,8,8,8,0,0,0,0,0,0,0,0,0,0
8,8,8,7,7,7,8,8,8,8,8,0,3,3,6,1,0,1,5,0
7,7,7,7,8,7,7,8,7,8,8,5,3,2,4,6,4,7,0,0
8,7,7,8,8,8,8,8,8,8,8,6,3,4,3,3,3,1,4,0
8,8,7,8,8,8,7,8,7,7,3,6,0,6,1,6,1,6,7,0
7,8,7,7,8,7,8,8,7,7,8,3,4,6,0,3,4,1,1,0
7,8,8,7,7,7,7,7,7,8,0,6,4,9,3,1,0,5,5,0
7,7,8,7,8,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0
7,7,7,8,7,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0
