7,3,9,4,5,5,9,6,4,4,0,0,1,9,9,9,0,0,9,0
8,4,6,4,4,5,5,4,4,4,9,9,2,9,0,9,1,0,2,2
9,4,6,3,5,5,4,3,0,9,9,0,0,1,0,0,1,3,0,9
3,5,1,5,9,9,9,9,5,7,2,9,0,0,0,9,9,9,2,2
5,0,3,9,9,9,4,9,0,4,9,0,0,2,1,0,0,0,3,3
5,4,5,7,0,8,9,6,5,6,0,0,1,9,0,9,1,9,0,0
6,4,5,3,0,9,3,0,8,8,9,9,0,1,0,2,0,2,0,2
6,9,7,3,7,5,0,7,6,6,2,2,2,1,0,1,2,0,0,2
4,5,5,5,5,7,6,8,4,5,2,2,1,2,0,9,2,9,9,9
5,5,5,4,3,6,4,5,5,0,9,0,0,0,9,0,1,9,2,9
8,5,8,7,4,7,6,6,6,8,0,0,0,0,0,0,0,0,0,0
8,7,7,7,4,5,3,6,7,6,0,0,0,0,0,0,0,0,0,0
7,8,7,7,4,7,7,7,5,7,6,7,3,1,4,2,4,5,0,0
7,7,7,6,7,7,7,4,5,6,6,3,1,0,3,6,0,9,7,0
4,6,8,6,5,7,3,7,7,7,6,4,3,3,0,0,2,5,3,0
5,5,4,6,4,5,7,4,6,4,0,3,4,2,4,6,4,8,5,0
5,5,8,7,5,5,3,4,6,7,0,3,2,1,4,1,3,5,1,0
7,4,7,7,7,7,8,5,4,7,0,6,5,8,0,1,3,9,6,0
7,4,8,4,5,6,6,6,6,8,0,0,0,0,0,0,0,0,0,0
7,7,6,6,6,7,7,4,6,4,0,0,0,0,0,0,0,0,0,0
