3,0,6,2,5,0,5,5,5,3,0,9,1,9,9,1,9,9,9,0
9,5,0,6,4,6,4,5,1,4,9,9,3,0,0,0,2,2,1,9
5,0,9,2,4,9,5,3,4,6,0,9,9,2,9,9,0,9,9,2
9,7,9,6,5,5,0,4,3,3,2,3,2,0,1,0,9,0,1,0
3,5,4,5,4,7,5,7,5,5,0,2,2,0,0,1,1,0,9,9
0,7,3,4,4,4,7,4,6,0,0,9,0,9,9,0,9,1,9,9
3,6,4,4,5,5,4,4,2,9,0,2,9,9,9,1,9,2,9,9
5,8,9,5,3,2,4,9,9,9,1,0,9,9,1,0,0,9,3,3
4,8,9,5,9,7,7,3,5,0,9,9,0,1,0,0,0,0,9,9
3,8,0,4,9,9,4,4,1,7,2,1,0,9,0,0,0,1,9,9
8,7,8,8,8,8,7,7,7,7,0,0,0,0,0,0,0,0,0,0
8,8,8,7,7,8,7,8,8,8,0,0,0,0,0,0,0,0,0,0
7,7,8,7,8,7,7,8,8,7,8,5,3,1,2,5,1,1,3,0
7,8,7,7,7,7,7,8,8,7,8,1,1,1,0,1,1,4,1,0
7,7,8,7,8,8,7,8,8,7,7,2,4,0,1,9,0,4,6,0
8,8,7,8,8,7,8,8,7,7,7,0,1,2,4,1,0,2,5,0
7,8,8,7,7,7,7,8,8,7,7,3,0,0,2,4,0,1,1,0
8,7,7,7,8,7,7,8,8,7,0,7,7,5,3,4,6,0,2,0
8,7,7,8,7,8,7,7,7,8,0,0,0,0,0,0,0,0,0,0
8,8,8,8,8,8,7,8,7,7,0,0,0,0,0,0,0,0,0,0
