5,4,6,4,9,9,4,7,5,7,2,2,1,1,0,0,9,0,0,2
3,2,5,5,5,7,7,6,3,3,9,2,1,1,9,0,0,0,9,9
4,5,2,5,4,4,1,8,4,6,9,0,1,0,0,1,0,9,1,9
5,6,7,1,9,9,0,4,5,2,2,0,9,0,0,2,0,0,0,3
4,4,6,3,7,3,5,0,3,5,9,2,2,9,1,3,2,9,9,2
0,4,4,4,4,4,0,3,5,6,9,9,1,9,2,2,9,2,9,9
1,4,5,5,5,8,7,4,4,5,0,0,9,9,9,0,2,2,9,2
6,5,1,0,2,0,5,5,8,3,0,9,9,0,0,0,9,9,9,0
3,1,7,5,5,4,1,7,4,5,0,9,1,1,0,0,1,0,1,0
5,4,4,5,5,9,5,0,9,4,9,0,1,0,0,9,1,1,9,2
6,5,7,5,5,7,5,7,7,8,0,0,0,0,0,0,0,0,0,0
8,6,7,6,8,7,8,8,7,6,0,0,0,0,0,0,0,0,0,0
6,5,6,7,8,6,8,7,6,8,7,6,6,1,2,1,3,0,6,0
7,6,7,8,6,8,7,6,8,7,7,4,2,6,6,3,7,7,2,0
8,7,6,8,8,6,8,5,7,6,7,6,6,8,1,0,1,5,2,0
7,8,7,7,7,8,7,6,6,7,0,9,3,1,3,0,4,0,7,0
7,7,7,7,7,8,6,5,8,7,0,5,1,0,1,0,0,1,6,0
8,7,7,7,7,8,8,7,7,6,0,0,1,6,8,2,2,3,5,0
7,8,7,7,7,8,7,6,7,5,0,0,0,0,0,0,0,0,0,0
6,6,6,7,8,8,7,8,7,7,0,0,0,0,0,0,0,0,0,0
