4,2,7,7,5,4,3,6,2,3,9,1,0,1,1,9,1,2,1,9
4,7,7,6,5,6,4,0,0,4,9,9,9,9,3,9,1,0,9,3
4,4,5,9,9,4,4,3,4,0,2,0,9,9,9,1,9,9,0,9
4,7,6,9,5,3,0,5,3,6,9,9,0,9,0,9,9,9,0,9
5,2,9,6,5,3,4,4,0,5,2,1,2,0,0,1,9,9,2,3
5,3,4,5,8,4,7,3,5,0,3,0,9,9,9,0,2,0,1,0
6,9,8,4,4,3,4,4,9,9,2,1,0,1,2,2,0,2,2,3
4,5,4,0,5,5,0,8,3,5,0,2,0,0,9,2,2,0,0,2
4,0,2,2,0,9,4,5,5,9,3,1,9,2,9,9,1,2,9,0
9,5,9,3,0,5,5,5,5,5,2,1,1,2,1,0,0,0,0,0
7,7,7,8,7,7,8,7,7,8,0,0,0,0,0,0,0,0,0,0
8,8,7,8,8,7,8,7,8,7,0,0,0,0,0,0,0,0,0,0
7,7,8,7,7,7,8,8,7,8,8,3,4,2,2,0,0,7,2,0
8,7,8,7,8,7,7,8,7,8,8,1,0,2,0,8,1,3,2,0
7,8,7,7,8,7,8,8,8,8,8,1,0,1,0,7,2,0,5,0
7,8,8,7,7,8,7,8,7,8,8,6,2,1,5,2,1,2,8,0
7,8,8,8,7,7,8,8,8,7,0,3,1,2,3,2,0,5,8,0
8,7,7,7,8,7,7,8,8,7,0,6,7,0,0,4,1,6,4,0
8,8,8,7,7,8,7,7,8,8,0,0,0,0,0,0,0,0,0,0
8,7,7,8,8,7,7,7,8,8,0,0,0,0,0,0,0,0,0,0
